"Season","TeamName","Tempo","RankTempo","AdjTempo","RankAdjTempo","OE","RankOE","AdjOE","RankAdjOE","DE","RankDE","AdjDE","RankAdjDE","AdjEM","RankAdjEM"
"2022","DePaul",70.3006,76,69.3255,88,103.094,157,107.152,106,101.76,182,99.8922,111,7.26006,99
"2022","Detroit Mercy",65.2978,321,65.3028,301,106.445,80,105.791,128,107.732,300,110.781,309,-4.99,230
"2022","Dixie St.",72.8046,17,71.8318,18,93.5032,330,96.4358,305,103.932,237,105.472,219,-9.03575,274
"2022","Drake",65.8582,293,66.4888,247,108.655,46,109.211,74,98.9682,105,99.5034,103,9.70741,84
"2022","Drexel",67.801,193,66.8203,223,105.898,95,105.676,130,102.69,205,104.194,192,1.48168,148
"2022","Duke",68.3927,160,67.9547,154,117.206,5,119.65,5,96.3374,53,94.3016,27,25.3485,6
"2022","Duquesne",66.6422,262,66.1826,261,95.5656,300,98.602,270,108.359,309,109.165,284,-10.5632,286
"2022","East Carolina",68.8789,132,68.2153,135,99.1905,237,103.256,182,102.11,193,103.928,186,-0.67173,176
"2022","East Tennessee St.",65.9795,287,65.847,273,106.833,73,108.377,87,110.419,332,109.475,288,-1.0979,183
"2022","Eastern Illinois",66.3362,272,65.2975,302,82.0562,357,83.8444,357,107.59,295,109.236,286,-25.3918,357
"2022","Eastern Kentucky",71.6901,38,71.405,25,103.311,154,101.728,209,105.283,260,109.615,292,-7.88682,262
"2022","Eastern Michigan",70.5386,67,69.7088,68,94.9326,310,94.4555,330,106.325,272,107.762,262,-13.3064,313
"2022","Eastern Washington",70.8486,55,70.1975,58,105.664,104,104.444,153,105.314,261,108.076,270,-3.63211,218
"2022","Elon",67.2522,233,66.5089,244,97.3203,273,100.038,244,107.77,301,106.429,243,-6.39132,244
"2022","Evansville",64.2653,342,64.5943,330,89.165,353,93.2349,338,108.615,311,107.246,254,-14.0112,319
"2022","Fairfield",64.996,323,64.4765,333,101.165,195,100.544,231,101.067,157,104.797,205,-4.25352,224
"2022","Fairleigh Dickinson",70.4124,71,70.1299,59,94.5021,315,95.2741,320,111.259,340,114.953,350,-19.6794,346
"2022","FIU",67.96,183,67.307,200,99.266,234,98.2959,274,103.561,226,106.417,242,-8.12128,267
"2022","Florida",66.3223,273,65.296,303,105.785,101,111.813,36,98.8021,99,98.276,75,13.5368,52
"2022","Florida A&M",66.8511,253,65.9674,267,94.8471,311,95.6677,310,102.638,204,108.037,269,-12.3692,309
"2022","Florida Atlantic",68.3745,161,67.6705,179,106.965,69,106.606,113,100.169,138,102.734,163,3.87154,125
